group_keyword,group_sentence_1,video_id,youtube,school_zh,school_total_videos,township_slug,township_total_videos,decision,reason
jump rope,jump rope is a good way to stay active and healthy.,ay6umIYJjSk,https://www.youtube.com/watch?v=ay6umIYJjSk,彰化縣芳苑鄉後寮國小,2,fangyuan,213,KEEP,kept: smallest school count (2 videos)
jump rope,jump rope is a good way to stay active and healthy.,5HawhEpouRY,https://www.youtube.com/watch?v=5HawhEpouRY,彰化縣溪州鄉南州國小,3,xizhou,226,DROP,dropped: same as ay6umIYJjSk (彰化縣芳苑鄉後寮國小)
jump rope,jump rope is a good way to stay active and healthy.,7ljO3-5xF0Q,https://www.youtube.com/watch?v=7ljO3-5xF0Q,彰化縣鹿港鎮頂番國小,19,lukang,114,DROP,dropped: same as ay6umIYJjSk (彰化縣芳苑鄉後寮國小)
jump rope,jump rope is a good way to stay active and healthy.,lVQWaAEyg60,https://www.youtube.com/watch?v=lVQWaAEyg60,彰化縣北斗鎮螺陽國小,25,beidou,199,DROP,dropped: same as ay6umIYJjSk (彰化縣芳苑鄉後寮國小)
jump rope,jump rope is a good way to stay active and healthy.,4vKDOhR1oSA,https://www.youtube.com/watch?v=4vKDOhR1oSA,彰化縣溪州鄉水尾國小,43,xizhou,226,DROP,dropped: same as ay6umIYJjSk (彰化縣芳苑鄉後寮國小)
jump rope,jump rope is a good way to stay active and healthy.,c6x6Ug6lEOk,https://www.youtube.com/watch?v=c6x6Ug6lEOk,彰化縣田中鎮三潭國小,92,tianzhong,271,DROP,dropped: same as ay6umIYJjSk (彰化縣芳苑鄉後寮國小)
soccer,the students are working on their soccer skills on the field.,KhxKpaHsjT8,https://www.youtube.com/watch?v=KhxKpaHsjT8,彰化縣芳苑鄉後寮國小,2,fangyuan,213,KEEP,kept: smallest school count (2 videos)
soccer,the students are working on their soccer skills on the field.,UdQuQ95k-yU,https://www.youtube.com/watch?v=UdQuQ95k-yU,彰化縣大村鄉村東國小,35,dacun,49,DROP,dropped: same as KhxKpaHsjT8 (彰化縣芳苑鄉後寮國小)
homework,the students are quietly doing their homework in the classroom.,Cv_n3TUmviA,https://www.youtube.com/watch?v=Cv_n3TUmviA,彰化縣大城鄉西港國小,3,dacheng,3,KEEP,kept: smallest school count (3 videos)
homework,the students are quietly doing their homework in the classroom.,Y8d33gppbgE,https://www.youtube.com/watch?v=Y8d33gppbgE,彰化縣二林鎮二林國小,55,erlin,114,DROP,dropped: same as Cv_n3TUmviA (彰化縣大城鄉西港國小)
shoot,the students are practicing shooting the basketball.,-uUIihojNvs,https://www.youtube.com/watch?v=-uUIihojNvs,彰化縣大城鄉西港國小,3,dacheng,3,KEEP,kept: smallest school count (3 videos)
shoot,the students are practicing shooting the basketball.,qQmWVusi0gQ,https://www.youtube.com/watch?v=qQmWVusi0gQ,彰化縣彰化市大竹國小,18,changhua-city,387,DROP,dropped: same as -uUIihojNvs (彰化縣大城鄉西港國小)
jump rope competition,the students participate in a jump rope competition.,mh4-9O0hC3Q,https://www.youtube.com/watch?v=mh4-9O0hC3Q,彰化縣芳苑鄉王功國小,10,fangyuan,213,KEEP,kept: smallest school count (10 videos)
jump rope competition,the students participate in a jump rope competition.,ZG7LpZ909HI,https://www.youtube.com/watch?v=ZG7LpZ909HI,彰化縣溪州鄉成功國小,10,xizhou,226,DROP,dropped: same as mh4-9O0hC3Q (彰化縣芳苑鄉王功國小)
jump rope competition,the students participate in a jump rope competition.,Yx5N6kwAbRM,https://www.youtube.com/watch?v=Yx5N6kwAbRM,彰化縣田中鎮新民國小,58,tianzhong,271,DROP,dropped: same as mh4-9O0hC3Q (彰化縣芳苑鄉王功國小)
jump rope competition,the students participate in a jump rope competition.,CxuVgAgB9Z0,https://www.youtube.com/watch?v=CxuVgAgB9Z0,彰化縣社頭鄉湳雅國小,71,shetou,95,DROP,dropped: same as mh4-9O0hC3Q (彰化縣芳苑鄉王功國小)
jump rope competition,the students participate in a jump rope competition.,BA6_c1gQx3Q,https://www.youtube.com/watch?v=BA6_c1gQx3Q,彰化縣田中鎮明禮國小,80,tianzhong,271,DROP,dropped: same as mh4-9O0hC3Q (彰化縣芳苑鄉王功國小)
meeting,teachers and parents attend the class parent-teacher meeting for the new semester.,FhcjEMrmfXE,https://www.youtube.com/watch?v=FhcjEMrmfXE,彰化縣溪州鄉成功國小,10,xizhou,226,KEEP,kept: smallest school count (10 videos)
meeting,teachers and parents attend the class parent-teacher meeting for the new semester.,gK1EDBku6xM,https://www.youtube.com/watch?v=gK1EDBku6xM,彰化縣北斗鎮萬來國小,113,beidou,199,DROP,dropped: same as FhcjEMrmfXE (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,kK7S5EzBJuk,https://www.youtube.com/watch?v=kK7S5EzBJuk,彰化縣溪州鄉成功國小,10,xizhou,226,KEEP,kept: smallest school count (10 videos)
swimming class,the students learn how to swim in swimming class.,ptxWmLN7rwQ,https://www.youtube.com/watch?v=ptxWmLN7rwQ,彰化縣彰化市國聖國小,19,changhua-city,387,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,1Cl7xxmYI9M,https://www.youtube.com/watch?v=1Cl7xxmYI9M,彰化縣溪州鄉三條國小,20,xizhou,226,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,TBmanfvoJMk,https://www.youtube.com/watch?v=TBmanfvoJMk,彰化縣竹塘鄉長安國小,23,zhutang,183,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,xVV3wyaQpqQ,https://www.youtube.com/watch?v=xVV3wyaQpqQ,彰化縣永靖鄉福德國小,36,yongjing,60,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,15G7FVigo_U,https://www.youtube.com/watch?v=15G7FVigo_U,彰化縣二林鎮廣興國小,37,erlin,114,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
